07/01/2020 03:20:51,07/01/2020 11:41:14,8:20:23,"('Download: 20239.80 Kb/s', 'Upload: 11624.96 Kb/s', 'Ping: 4.583')"
07/01/2020 19:12:21,07/01/2020 20:45:58,1:33:37,"('Download: 26995.47 Kb/s', 'Upload: 12091.49 Kb/s', 'Ping: 8.32')"
07/01/2020 22:30:22,08/01/2020 10:05:28,11:35:06,"('Download: 28185.92 Kb/s', 'Upload: 6654.43 Kb/s', 'Ping: 6.173')"
10/01/2020 01:58:09,10/01/2020 01:58:34,0:00:25,"('Download: 25163.51 Kb/s', 'Upload: 11971.58 Kb/s', 'Ping: 4.756')", detailed status=nuvens quebradas>
10/01/2020 02:16:42,10/01/2020 02:17:13,0:00:31,"('Download: 26428.15 Kb/s', 'Upload: 11562.76 Kb/s', 'Ping: 3.573')",broken clouds
10/01/2020 02:18:47,10/01/2020 02:18:59,0:00:12,"('Download: 28053.32 Kb/s', 'Upload: 11894.49 Kb/s', 'Ping: 5.713')",broken clouds
10/01/2020 02:19:53,10/01/2020 02:20:17,0:00:24,"('Download: 27962.39 Kb/s', 'Upload: 8321.01 Kb/s', 'Ping: 3.295')",Céu limpo com poucas nuvens
10/01/2020 02:40:15,10/01/2020 02:40:21,0:00:06,"('Download: 23692.28 Kb/s', 'Upload: 12153.91 Kb/s', 'Ping: 3.859')",Céu limpo com poucas nuvens
10/01/2020 02:45:29,10/01/2020 02:45:42,0:00:13,"('Download: 25757.91 Kb/s', 'Upload: 12256.23 Kb/s', 'Ping: 4.583')",Céu limpo com poucas nuvens
10/01/2020 02:48:08,10/01/2020 02:48:20,0:00:12,"('Download: 28227.79 Kb/s', 'Upload: 11789.24 Kb/s', 'Ping: 3.662')",Céu limpo com poucas nuvens
10/01/2020 02:57:06,10/01/2020 02:57:36,0:00:30,"('Download: 24503.88 Kb/s', 'Upload: 11755.55 Kb/s', 'Ping: 5.152')",Céu limpo com poucas nuvens
10/01/2020 03:02:19,10/01/2020 03:02:30,0:00:11,"('Download: 26381.01 Kb/s', 'Upload: 11313.36 Kb/s', 'Ping: 3.426')",Céu limpo com poucas nuvens
10/01/2020 03:12:57,10/01/2020 03:13:06,0:00:09,"('Download: 24065.14 Kb/s', 'Upload: 10766.37 Kb/s', 'Ping: 4.294')",Céu limpo com poucas nuvens
10/01/2020 03:28:13,10/01/2020 03:28:28,0:00:15,"('Download: 23957.94 Kb/s', 'Upload: 12168.65 Kb/s', 'Ping: 3.702')",Céu limpo com poucas nuvens
10/01/2020 03:33:59,10/01/2020 03:34:12,0:00:13,"('Download: 15182.51 Kb/s', 'Upload: 6831.07 Kb/s', 'Ping: 6.944')",Céu limpo com poucas nuvens
10/01/2020 03:35:28,10/01/2020 03:35:53,0:00:25,"('Download: 27327.63 Kb/s', 'Upload: 10670.03 Kb/s', 'Ping: 3.453')",Céu limpo com poucas nuvens
10/01/2020 03:37:54,10/01/2020 03:38:27,0:00:33,"('Download: 8035.75 Kb/s', 'Upload: 10626.67 Kb/s', 'Ping: 3.895')",Céu limpo com poucas nuvens
10/01/2020 03:38:10,10/01/2020 03:38:28,0:00:18,"('Download: 14483.21 Kb/s', 'Upload: 1375.10 Kb/s', 'Ping: 7.253')",Céu limpo com poucas nuvens
10/01/2020 04:03:14,10/01/2020 04:04:20,0:01:06,"('Download: 28148.47 Kb/s', 'Upload: 12715.11 Kb/s', 'Ping: 3.44')",Céu limpo com poucas nuvens
10/01/2020 04:27:07,10/01/2020 04:27:16,0:00:09,"('Download: 27692.3 Kb/s', 'Upload: 12198.2 Kb/s', 'Ping: 3.78')",Céu limpo com poucas nuvens
10/01/2020 04:30:20,10/01/2020 04:30:32,0:00:12,"('Download: 25783.50 Kb/s', 'Upload: 9363.00 Kb/s', 'Ping: 3.593')",Céu limpo com poucas nuvens
10/01/2020 20:00:51,10/01/2020 20:00:51,0:00:00,"('Download: 27239.14 Kb/s', 'Upload: 11643.00 Kb/s', 'Ping: 5.501')",céu pouco nublado
11/01/2020 07:28:35,11/01/2020 10:54:59,3:26:24,"('Download: 27903.90 Kb/s', 'Upload: 12399.00 Kb/s', 'Ping: 3.519')",nuvens dispersas
11/01/2020 12:17:43,11/01/2020 12:17:49,0:00:06,"('Download: 23947.85 Kb/s', 'Upload: 10645.00 Kb/s', 'Ping: 5.558')",nublado
11/01/2020 12:28:33,11/01/2020 12:28:40,0:00:07,"('Download: 22820.24 Kb/s', 'Upload: 9547.00 Kb/s', 'Ping: 4.417')",nuvens dispersas
11/01/2020 20:01:19,11/01/2020 22:24:31,2:23:12,"('Download: 22820.24 Kb/s', 'Upload: 9547.00 Kb/s', 'Ping: 4.417')",Céu limpo com poucas nuvens
11/01/2020 22:55:11,11/01/2020 22:55:29,0:00:18,"('Download: 14920.71 Kb/s', 'Upload: 8569.00 Kb/s', 'Ping: 4.234')",Céu limpo com poucas nuvens
11/01/2020 22:55:30,11/01/2020 22:55:31,0:00:01,"('Download: 17718.34 Kb/s', 'Upload: 7408.00 Kb/s', 'Ping: 6.626')",Céu limpo com poucas nuvens
12/01/2020 04:03:01,12/01/2020 04:03:57,0:00:56,"('Download: 26940.98 Kb/s', 'Upload: 12733.00 Kb/s', 'Ping: 3.658')",chuva fraca
12/01/2020 04:00:53,12/01/2020 04:07:43,0:06:50,"('Download: 27853.29 Kb/s', 'Upload: 12635.00 Kb/s', 'Ping: 3.13')",chuva fraca
13/01/2020 04:00:38,13/01/2020 04:03:37,0:02:59,"('Download: 22465.89 Kb/s', 'Upload: 10043.00 Kb/s', 'Ping: 5.063')",chuva fraca
13/01/2020 04:00:52,13/01/2020 04:03:37,0:02:45,"('Download: 4007.60 Kb/s', 'Upload: 7570.00 Kb/s', 'Ping: 6.176')",chuva fraca
13/01/2020 11:53:03,13/01/2020 11:53:21,0:00:18,"('Download: 27668.36 Kb/s', 'Upload: 11949.00 Kb/s', 'Ping: 4.84')",chuva fraca
